,postcode
1,2437
2,2187
3,2378
4,2453
5,2146
6,2297
7,2277
8,2447
9,2324
10,2337
11,2126
12,2222
13,2101
14,2330
15,2428
16,2298
17,2442
18,2319
19,2247
20,2267
21,2362
22,2424
23,2401
24,2324
25,2435
26,2391
27,2163
28,2238
29,2135
30,2478
31,2273
32,2427
33,2207
34,2272
35,2181
36,2264
37,2243
38,2360
39,2459
40,2500
41,2166
42,2148
43,2133
44,2395
45,2161
46,2202
47,2394
48,2191
49,2292
50,2166
51,2135
52,2201
53,2416
54,2119
55,2227
56,2324
57,2369
58,2476
59,2231
60,2434
61,2281
62,2432
63,2189
64,2331
65,2497
66,2165
67,2313
68,2118
69,2185
70,2363
71,2125
72,2134
73,2227
74,2259
75,2272
76,2410
77,2463
78,2236
79,2129
80,2250
81,2452
82,2479
83,2445
84,2261
85,2278
86,2464
87,2170
88,2111
89,2276
90,2422
91,2382
92,2380
93,2460
94,2145
95,2359
96,2404
97,2138
98,2210
99,2285
100,2313
101,2142
102,2205
103,2135
104,2437
105,2124
106,2204
107,2136
108,2451
109,2466
110,2391
111,2261
112,2106
113,2107
114,2309
115,2449
116,2123
117,2280
118,2292
119,2323
120,2449
121,2264
122,2479
123,2267
124,2462
125,2317
126,2207
127,2288
128,2411
129,2126
130,2184
131,2285
132,2236
133,2471
134,2490
135,2131
136,2459
137,2168
138,2415
139,2464
140,2253
141,2296
142,2225
143,2199
144,2342
145,2204
146,2488
147,2451
148,2444
149,2135
150,2477
151,2200
152,2165
153,2436
154,2229
155,2492
156,2293
157,2384
158,2380
159,2333
160,2130
161,2396
162,2148
163,2482
164,2446
165,2135
166,2355
167,2174
168,2371
169,2470
170,2144
171,2249
172,2427
173,2153
174,2254
175,2459
176,2131
177,2279
178,2494
179,2443
180,2270
181,2284
182,2380
183,2450
184,2497
185,2287
186,2236
187,2202
188,2301
189,2452
190,2261
191,2305
192,2498
193,2421
194,2453
195,2215
196,2393
197,2316
198,2489
199,2289
200,2379
201,2380
202,2143
203,2197
204,2255
205,2205
206,2299
207,2445
208,2359
209,2442
210,2283
211,2432
212,2220
213,2460
214,2260
215,2255
216,2279
217,2471
218,2103
219,2383
220,2438
221,2326
222,2304
223,2358
224,2316
225,2372
226,2478
227,2484
228,2458
229,2498
230,2288
231,2323
232,2335
233,2137
234,2105
235,2398
236,2103
237,2264
238,2246
239,2484
240,2218
241,2428
242,2152
243,2432
244,2429
245,2295
246,2444
247,2461
248,2479
249,2384
250,2397
251,2126
252,2472
253,2168
254,2239
255,2310
256,2489
257,2246
258,2424
259,2149
260,2361
261,2459
262,2258
263,2103
264,2153
265,2422
266,2247
267,2272
268,2274
269,2247
270,2151
271,2440
272,2445
273,2355
274,2317
275,2158
276,2294
277,2368
278,2390
279,2441
280,2230
281,2254
282,2336
283,2185
284,2449
285,2310
286,2436
287,2206
288,2350
289,2214
290,2263
291,2495
292,2200
293,2494
294,2341
295,2366
296,2482
297,2262
298,2200
299,2137
300,2171
